id*domaine
101706*Accueil de jeunes enfants
101704*Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées
101707*Accueil ou accompagnement sans hébergement d'enfants handicapés
101709*Action sociale sans hébergement n.c.a.
101621*Activité des économistes de la construction
101608*Activité des géomètres
101683*Activité des médecins généralistes
101685*Activités chirurgicales
101646*Activités combinées de soutien lié aux bâtiments
101603*Activités comptables
101607*Activités d'architecture
101577*Activités de banque centrale
101654*Activités de centres d'appels
101721*Activités de clubs de sports
101657*Activités de conditionnement
101531*Activités de poste dans le cadre d'une obligation de service universel
101157*Activités de pré-presse
101684*Activités de radiodiagnostic et de radiothérapie
101693*Activités de santé humaine non classées ailleurs
101643*Activités de sécurité privée
101021*Activités de soutien à la production animale
101681*Activités de soutien à l'enseignement
101071*Activités de soutien à l'extraction d'hydrocarbures
101711*Activités de soutien au spectacle vivant
101072*Activités de soutien aux autres industries extractives
101020*Activités de soutien aux cultures
101645*Activités d'enquête
101637*Activités des agences de placement de main-d'oeuvre
101575*Activités des agences de presse
101615*Activités des agences de publicité
101656*Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle
101638*Activités des agences de travail temporaire
101640*Activités des agences de voyage
101593*Activités des agents et courtiers d'assurances
101722*Activités des centres de culture physique
101691*Activités des infirmiers et des sages-femmes
101596*Activités des marchands de biens immobiliers
101747*Activités des ménages en tant qu'employeurs de personnel domestique
101750*Activités des organisations et organismes extraterritoriaux
101726*Activités des organisations patronales et consulaires
101730*Activités des organisations politiques
101727*Activités des organisations professionnelles
101729*Activités des organisations religieuses
101724*Activités des parcs d'attractions et parcs à thèmes
101692*Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues
101604*Activités des sièges sociaux
101579*Activités des sociétés holding
101728*Activités des syndicats de salariés
101641*Activités des voyagistes
101665*Activités d'ordre public et de sécurité
101667*Activités générales de sécurité sociale
101682*Activités hospitalières
101748*Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
101749*Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
101602*Activités juridiques
101644*Activités liées aux systèmes de sécurité
101619*Activités photographiques
101618*Activités spécialisées de design
101622*Activités spécialisées, scientifiques et techniques diverses
101623*Activités vétérinaires
101588*Administration de marchés financiers
101600*Administration d'immeubles et autres biens immobiliers
101659*Administration publique générale
101660*Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
101661*Administration publique (tutelle) des activités économiques
101662*Affaires étrangères
101530*Affrètement et organisation des transports
101376*Agencement de lieux de vente
101599*Agences immobilières
101703*Aide à domicile
101705*Aide par le travail
101688*Ambulances
101611*Analyses, essais et inspections techniques
